,TARGET,DAYS_BIRTH,DAYS_EMPLOYED,REGION_RATING_CLIENT_W_CITY,REGION_RATING_CLIENT,NAME_INCOME_TYPE_Working,DAYS_LAST_PHONE_CHANGE,CODE_GENDER_M,DAYS_ID_PUBLISH,REG_CITY_NOT_WORK_CITY,NAME_EDUCATION_TYPE_Secondary / secondary special,FLAG_EMP_PHONE,REG_CITY_NOT_LIVE_CITY,FLAG_DOCUMENT_3,OCCUPATION_TYPE_Laborers,DAYS_REGISTRATION,EXT_SOURCE_3,EXT_SOURCE_2,EXT_SOURCE_1,NAME_EDUCATION_TYPE_Higher education,CODE_GENDER_F,NAME_INCOME_TYPE_Pensioner,ORGANIZATION_TYPE_XNA,FLOORSMAX_AVG,FLOORSMAX_MEDI,FLOORSMAX_MODE,EMERGENCYSTATE_MODE_No,HOUSETYPE_MODE_block of flats,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,ELEVATORS_AVG,ELEVATORS_MEDI
0,1,-9461,-637.0,2,2,1,-1134.0,1,-2120,0,1,1,0,1,1,-3648.0,0.1393757800997895,0.2629485927471776,0.0830369673913225,0,0,0,0,0.0833,0.0833,0.0833,1,1,351000.0,0.018801,0.0,0.0
1,0,-16765,-1188.0,1,1,0,-828.0,0,-291,0,0,1,0,1,0,-1186.0,,0.6222457752555098,0.3112673113812225,1,1,0,0,0.2917,0.2917,0.2917,1,1,1129500.0,0.0035409999999999,0.08,0.08
2,0,-19046,-225.0,2,2,1,-815.0,1,-2531,0,1,1,0,0,1,-4260.0,0.7295666907060153,0.5559120833904428,,0,0,0,0,,,,0,0,135000.0,0.010032,,
3,0,-19005,-3039.0,2,2,1,-617.0,0,-2437,0,1,1,0,1,1,-9833.0,,0.6504416904014653,,0,1,0,0,,,,0,0,297000.0,0.008019,,
4,0,-19932,-3038.0,2,2,1,-1106.0,1,-3458,1,1,1,0,0,0,-4311.0,,0.3227382869704046,,0,0,0,0,,,,0,0,513000.0,0.028663,,
5,0,-16941,-1588.0,2,2,0,-2536.0,1,-477,0,1,1,0,1,1,-4970.0,0.6212263380626669,0.3542247319929012,,0,0,0,0,,,,0,0,454500.0,0.035792,,
6,0,-13778,-3130.0,2,2,0,-1562.0,0,-619,0,0,1,0,0,0,-1213.0,0.4920600938649263,0.7239998516953141,0.7747614130547695,1,1,0,0,,,,0,0,1395000.0,0.035792,,
7,0,-18850,-449.0,3,3,0,-1070.0,1,-2379,1,0,1,0,1,0,-4597.0,0.5406544504453575,0.7142792864482229,,1,0,0,0,,,,0,0,1530000.0,0.0031219999999999,,
8,0,-20099,,2,2,0,0.0,0,-3514,0,1,0,0,1,0,-7427.0,0.7517237147741489,0.2057472880073281,0.5873340468730377,0,1,1,1,,,,0,0,913500.0,0.018634,,
9,0,-14469,-2019.0,2,2,1,-1673.0,1,-3992,0,1,1,0,0,1,-14437.0,,0.7466436294590924,,0,0,0,0,,,,0,0,405000.0,0.0196889999999999,,
10,0,-10197,-679.0,2,2,1,-844.0,0,-738,0,0,1,0,1,0,-4427.0,0.363945238612397,0.6518623334244781,0.3197601716755032,1,1,0,0,,,,0,0,652500.0,0.0228,,
11,0,-20417,,2,2,0,-2396.0,0,-2512,0,1,0,0,0,0,-5246.0,0.6528965519806539,0.5551831615131809,0.7220444501416448,0,1,1,1,,,,0,0,135000.0,0.015221,,
12,0,-13439,-2717.0,2,2,1,-2370.0,0,-3227,0,1,1,0,1,1,-311.0,0.1766525794312139,0.7150418188660659,0.4648311169632833,0,1,0,0,0.1667,0.1667,0.1667,1,1,67500.0,0.031329,0.0,0.0
13,0,-14086,-3028.0,2,2,1,-4.0,1,-4911,0,1,1,0,1,0,-643.0,0.7700870700124128,0.5669066132460429,,0,0,0,0,0.3333,0.3333,0.3333,1,1,697500.0,0.016612,0.16,0.16
14,0,-14583,-203.0,1,2,1,-188.0,0,-2056,0,1,1,0,1,1,-615.0,,0.6426562048311103,0.7219397686622343,0,1,0,0,0.6667,0.6667,0.6667,1,1,679500.0,0.010006,0.4,0.4
15,0,-8728,-1157.0,3,3,1,-925.0,1,-1368,1,1,1,1,0,1,-3494.0,0.6785676886853644,0.34663398139668,0.1156343372622997,0,0,0,0,,,,0,0,247500.0,0.020713,,
16,0,-12931,-1317.0,2,2,1,-3.0,1,-3866,1,1,1,1,1,0,-6392.0,0.0621030378372968,0.2363778398884225,,0,0,0,0,,,,0,0,387000.0,0.018634,,
17,0,-9776,-191.0,2,2,1,-2811.0,0,-2427,1,1,1,1,0,1,-4143.0,,0.6835133461914255,,0,1,0,0,,,,0,0,270000.0,0.010966,,
18,0,-17718,-7804.0,1,1,1,-239.0,0,-1259,0,1,1,0,1,1,-8751.0,0.5567274263630174,0.7064284028871654,,0,1,0,0,0.0833,0.0833,0.0833,1,1,157500.0,0.04622,0.0,0.0
19,0,-11348,-2038.0,2,2,0,-1850.0,0,-3964,0,0,1,0,1,0,-1021.0,0.4776491548517548,0.5866171400119664,,1,1,0,0,,,,0,0,454500.0,0.015221,,
20,0,-18252,-4286.0,2,2,1,-296.0,1,-1800,0,1,1,0,0,1,-298.0,,0.113374512719927,0.5656548824667073,0,0,0,0,0.1667,0.1667,0.1667,1,1,427500.0,0.015221,0.0,0.0
21,0,-14815,-1652.0,2,2,0,0.0,0,-2299,0,1,1,0,1,0,-2299.0,0.5424451438613613,0.2337669575081463,0.4377090198475417,0,1,0,0,,,,0,0,927000.0,0.025164,,
22,0,-11146,-4306.0,2,3,1,-468.0,0,-2518,0,1,1,0,1,0,-114.0,0.3589512285783967,0.457142971588935,,0,1,0,0,0.1667,0.1667,0.1667,1,1,450000.0,0.020713,0.0,0.0
23,0,-24827,,3,3,0,-795.0,0,-3684,0,1,0,0,0,0,-9012.0,0.6690566947824041,0.6243047373592765,,0,1,1,1,0.375,0.375,0.375,1,1,225000.0,0.006296,0.14,0.14
24,0,-11286,-746.0,2,2,1,-4.0,1,-3729,1,1,1,0,1,0,-108.0,0.5656079814115492,0.7861793090532118,,0,0,0,0,0.1667,0.1667,0.1667,1,1,247500.0,0.026392,0.0,0.0
25,0,-19334,-3494.0,2,2,1,0.0,0,-2893,0,1,1,0,1,0,-2419.0,0.4614823912998385,0.6514056365297631,0.5619484093041138,0,1,0,0,0.1667,0.1667,0.1667,1,1,225000.0,0.028663,0.0,0.0
26,1,-18724,-2628.0,2,3,1,-161.0,0,-1827,0,1,1,0,1,0,-6573.0,0.190705947811054,0.5484771599678789,,0,1,0,0,0.0417,0.0417,0.0417,0,1,702000.0,0.018029,0.0,0.0
27,0,-15948,-1234.0,2,2,1,-2.0,1,-3153,1,1,1,0,1,1,-5782.0,0.6594055320683344,0.5411237022695412,,0,0,0,0,,,,0,0,270000.0,0.019101,,
28,0,-9994,-1796.0,1,1,0,-849.0,1,-2661,0,0,1,0,0,0,-4668.0,0.524496446363472,0.6850109901296888,0.6003959050009468,1,0,0,0,,,,0,0,675000.0,0.04622,,
29,0,-10341,-1010.0,2,2,1,-599.0,1,-3015,0,0,1,0,0,1,-4799.0,,0.5027790378786304,0.2979135090150507,1,0,0,0,0.3333,0.3333,0.3333,1,1,180000.0,0.030755,0.16,0.16
30,0,-15280,-2668.0,2,2,0,-1634.0,0,-3787,0,1,1,0,1,0,-5266.0,0.4101025731788671,0.479987342189869,,0,1,0,0,0.0417,0.0417,0.0417,1,1,477000.0,0.025164,0.0,0.0
31,0,-11144,-1104.0,2,2,1,-397.0,0,-2904,0,1,1,0,1,0,-7846.0,,0.6273004007953609,0.2744223724911185,0,1,0,0,0.375,0.375,0.375,1,1,360000.0,0.008575,0.28,0.28
32,0,-12974,-4404.0,2,2,1,-2766.0,0,-4464,0,1,1,0,1,1,-7123.0,0.7981372313187245,0.5594667916353414,,0,1,0,0,0.1667,0.1667,0.1667,1,1,180000.0,0.010032,0.0,0.0
33,0,-11694,-2060.0,2,2,0,-697.0,1,-3557,1,1,1,1,0,0,-3557.0,0.4118485559242397,0.3217448956617718,,0,0,0,0,,,,0,0,679500.0,0.015221,,
34,0,-15997,-4585.0,2,2,0,-3019.0,0,-4067,0,0,1,0,1,0,-5735.0,,0.1724975081477771,,1,1,0,0,0.1667,0.1667,0.1667,1,1,1125000.0,0.0196889999999999,0.0,0.0
35,0,-12158,-1275.0,2,2,1,-1285.0,0,-2009,0,0,1,0,1,0,-6265.0,0.6785676886853644,0.6631580756296298,,1,1,0,0,0.1667,0.1667,0.1667,1,1,450000.0,0.008575,0.0,0.0
36,0,-17199,-768.0,2,2,0,-2411.0,0,-735,0,1,1,0,1,0,-63.0,0.7544061731797895,0.6816988025574287,0.8427634659543568,0,1,0,0,,,,0,0,553500.0,0.01885,,
37,0,-21077,-1288.0,2,2,1,-1541.0,1,-4270,1,1,1,0,1,0,-5474.0,0.722392890081304,0.7197985370372056,0.8045861213121414,0,0,0,0,,,,0,0,454500.0,0.030755,,
38,0,-23920,,2,2,0,0.0,0,-4969,0,1,0,0,1,0,-9817.0,0.7517237147741489,0.6507647995068742,,0,1,1,1,0.3333,0.3333,0.3333,1,1,225000.0,0.006207,0.04,0.04
39,0,-16126,-1761.0,2,2,1,-540.0,1,-4292,0,0,1,0,0,0,-8236.0,0.6058362647264226,0.7380532835697358,,1,0,0,0,0.1667,0.1667,0.1667,1,1,540000.0,0.025164,0.0,0.0
40,1,-17482,-1262.0,2,2,0,-1075.0,1,-1029,0,1,1,0,1,1,-1182.0,0.3201633668633456,0.306840586048305,,0,0,0,0,0.25,0.25,0.25,1,1,855000.0,0.025164,0.16,0.16
41,0,-16971,-475.0,2,2,1,-458.0,0,-513,1,1,1,0,1,1,-3148.0,,0.0373152355612163,,0,1,0,0,,,,0,0,540000.0,0.009175,,
42,1,-13384,-3597.0,3,3,1,-1480.0,0,-4409,0,1,1,0,1,0,-45.0,0.3996756156233169,0.6742032101473874,0.4682080567974757,0,1,0,0,,,,0,0,238500.0,0.007305,,
43,0,-23548,,2,2,0,-491.0,0,-4576,0,0,0,0,1,0,-5745.0,0.6848276586890367,0.7661378050275851,,1,1,1,1,0.3333,0.3333,0.3333,1,1,675000.0,0.010966,0.24,0.24
44,0,-9827,-758.0,2,2,1,-556.0,1,-2380,1,1,1,0,1,0,-4166.0,,0.6315186311742824,,0,0,0,0,,,,0,0,598500.0,0.007114,,
45,0,-7974,-895.0,2,2,1,-462.0,0,-642,0,1,1,0,0,0,-6591.0,,0.535542260363498,,0,1,0,0,,,,0,0,180000.0,0.009334,,
46,0,-20373,,2,2,0,-649.0,0,-1993,0,1,0,0,1,0,-7760.0,0.475849908720221,0.2476647173356162,,0,1,1,1,,,,0,0,252000.0,0.0196889999999999,,
47,0,-20121,-5332.0,2,2,1,-1247.0,0,-3283,1,1,1,0,1,0,-9197.0,0.7281412993111438,0.0892406534424171,,0,1,0,0,,,,0,0,225000.0,0.022625,,
48,0,-19727,-4411.0,3,3,0,-784.0,0,-3199,0,1,1,0,1,0,-6225.0,0.4668640059537032,0.5891866296961207,0.7104273289168539,0,1,0,0,,,,0,0,1350000.0,0.020713,,
49,0,-18264,-9523.0,2,2,1,-1498.0,1,-1797,1,1,1,0,1,1,-5504.0,,0.5239340474953537,,0,0,0,0,,,,0,0,1350000.0,0.010006,,
50,0,-12406,-1176.0,2,2,0,0.0,0,-2576,0,0,1,0,1,0,-1149.0,0.4794489811780563,0.4508497225560816,0.6562248044601879,1,1,0,0,0.4083,0.375,0.375,1,1,135000.0,0.0145199999999999,0.08,0.08
51,0,-18632,-6977.0,2,2,0,-1285.0,1,-1937,0,0,1,0,1,0,-3904.0,0.3092753558842053,0.7133545848531052,0.3115099249880457,1,0,0,0,0.4583,0.4583,0.4583,1,1,675000.0,0.026392,0.88,0.88
52,0,-12282,-778.0,2,2,1,-466.0,1,-1992,0,1,1,0,1,0,-1824.0,0.7992967832109371,0.705947456699447,0.2445616325354615,0,0,0,0,0.0417,0.0417,0.0417,1,1,454500.0,0.028663,,
53,0,-10473,-1392.0,2,2,0,-570.0,0,-1240,1,0,1,1,1,0,-2025.0,0.7016957740576931,0.7029791046049891,0.1895957995501827,1,1,0,0,,,,0,0,238500.0,0.006629,,
54,0,-18611,,2,2,0,-462.0,1,-2142,0,1,0,0,1,0,-6936.0,0.7380196196295241,0.6628649268152181,,0,0,1,1,0.3333,0.3333,0.3333,1,1,675000.0,0.010006,0.24,0.24
55,0,-12955,-4106.0,2,2,1,-1547.0,0,-5164,0,0,1,0,1,0,-7054.0,0.0701088438273582,0.6166372926426479,0.5527719020519871,1,1,0,0,0.3333,0.3333,0.3333,1,1,666000.0,0.022625,0.04,0.04
56,0,-21621,,2,2,0,0.0,0,-1344,0,1,0,0,1,0,-2019.0,0.1694287272664794,0.6227082733555896,,0,1,1,1,,,,0,0,202500.0,0.019101,,
57,0,-18248,-2351.0,2,2,1,-167.0,1,-1721,1,1,1,0,0,0,-4375.0,0.5136937663039473,0.6091352920795285,0.2377197192577024,0,0,0,0,0.1667,0.1667,0.1667,1,1,247500.0,0.031329,0.0,0.0
58,0,-14186,-1743.0,2,2,1,-112.0,1,-4982,1,1,1,0,1,1,-2128.0,0.7076993447402619,0.2567370429595146,,0,0,0,0,,,,0,0,517500.0,0.00733,,
59,0,-20544,-2091.0,1,1,1,-1377.0,1,-566,0,0,1,0,0,0,-6846.0,0.3392876999089139,0.6535972121081295,,1,0,0,0,0.1,0.0833,0.0833,1,1,1129500.0,0.032561,0.0,0.0
60,0,-20121,-2446.0,2,2,0,-1572.0,0,-2177,0,1,1,0,1,0,-6755.0,0.6971469077844458,0.5706663563799912,,0,1,0,0,0.4583,0.4583,0.4583,1,1,1588500.0,0.018801,0.04,0.04
61,0,-7907,-1324.0,1,2,1,-725.0,1,-586,0,0,1,0,0,0,-4557.0,0.434733248750173,0.0265407750366898,,0,0,0,0,0.1667,0.1667,0.1667,1,1,1080000.0,0.010006,0.0,0.0
62,0,-22843,,2,2,0,-2385.0,1,-3967,0,0,0,0,1,0,-1042.0,0.2340151665320674,0.7330511930996613,,1,0,1,1,0.6667,0.6667,0.6667,1,1,810000.0,0.01885,0.16,0.16
63,0,-12240,-3720.0,2,2,1,-280.0,0,-4541,0,0,1,0,1,0,-5246.0,0.4920600938649263,0.6645439411246608,0.2996061411205129,1,1,0,0,,,,0,0,90000.0,0.00496,,
64,0,-13866,-2546.0,2,2,0,-3.0,1,-4097,0,1,1,0,0,0,-5448.0,0.0950703958413326,0.5848873555356944,,0,0,0,0,0.0417,0.0417,0.0417,1,1,315000.0,0.028663,0.0,0.0
65,0,-12049,-579.0,1,1,0,-295.0,1,-1,0,1,1,0,1,0,-6105.0,0.5620604831738043,0.6473478219828046,0.2867830789116058,0,0,0,0,0.3333,0.3333,0.3333,1,1,900000.0,0.072508,0.16,0.16
66,0,-19550,-4856.0,2,2,0,-1594.0,0,-3084,0,0,1,0,1,0,-6836.0,0.4294236843421945,0.5172704004425673,0.7961611232881004,1,1,0,0,,,,0,0,1035000.0,0.028663,,
