,SK_ID_CURR,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,AMT_ANNUITY,AMT_CREDIT
0,100002.0,-9461.0,-637.0,-3648.0,24700.5,406597.5
1,100003.0,-16765.0,-1188.0,-1186.0,35698.5,1293502.5
2,100004.0,-19046.0,-225.0,-4260.0,6750.0,135000.0
3,100006.0,-19005.0,-3039.0,-9833.0,29686.5,312682.5
4,100007.0,-19932.0,-3038.0,-4311.0,21865.5,513000.0
5,100008.0,-16941.0,-1588.0,-4970.0,27517.5,490495.5
6,100009.0,-13778.0,-3130.0,-1213.0,41301.0,1560726.0
7,100010.0,-18850.0,-449.0,-4597.0,42075.0,1530000.0
8,100011.0,-20099.0,365243.0,-7427.0,33826.5,1019610.0
9,100012.0,-14469.0,-2019.0,-14437.0,20250.0,405000.0
10,100014.0,-10197.0,-679.0,-4427.0,21177.0,652500.0
11,100015.0,-20417.0,365243.0,-5246.0,10678.5,148365.0
12,100016.0,-13439.0,-2717.0,-311.0,5881.5,80865.0
13,100017.0,-14086.0,-3028.0,-643.0,28966.5,918468.0
14,100018.0,-14583.0,-203.0,-615.0,32778.0,773680.5
15,100019.0,-8728.0,-1157.0,-3494.0,20160.0,299772.0
16,100020.0,-12931.0,-1317.0,-6392.0,26149.5,509602.5
17,100021.0,-9776.0,-191.0,-4143.0,13500.0,270000.0
18,100022.0,-17718.0,-7804.0,-8751.0,7875.0,157500.0
19,100023.0,-11348.0,-2038.0,-1021.0,17563.5,544491.0
20,100024.0,-18252.0,-4286.0,-298.0,21375.0,427500.0
21,100025.0,-14815.0,-1652.0,-2299.0,37561.5,1132573.5
22,100026.0,-11146.0,-4306.0,-114.0,32521.5,497520.0
23,100027.0,-24827.0,365243.0,-9012.0,23850.0,239850.0
24,100029.0,-11286.0,-746.0,-108.0,12703.5,247500.0
25,100030.0,-19334.0,-3494.0,-2419.0,11074.5,225000.0
26,100031.0,-18724.0,-2628.0,-6573.0,27076.5,979992.0
27,100032.0,-15948.0,-1234.0,-5782.0,23827.5,327024.0
28,100033.0,-9994.0,-1796.0,-4668.0,57676.5,790830.0
29,100034.0,-10341.0,-1010.0,-4799.0,9000.0,180000.0
30,100035.0,-15280.0,-2668.0,-5266.0,24592.5,665892.0
31,100036.0,-11144.0,-1104.0,-7846.0,25033.5,512064.0
32,100037.0,-12974.0,-4404.0,-7123.0,20893.5,199008.0
33,100039.0,-11694.0,-2060.0,-3557.0,39069.0,733315.5
34,100040.0,-15997.0,-4585.0,-5735.0,32895.0,1125000.0
35,100041.0,-12158.0,-1275.0,-6265.0,44509.5,450000.0
36,100043.0,-17199.0,-768.0,-63.0,23157.0,641173.5
37,100044.0,-21077.0,-1288.0,-5474.0,15151.5,454500.0
38,100045.0,-23920.0,365243.0,-9817.0,17338.5,247275.0
39,100046.0,-16126.0,-1761.0,-8236.0,27000.0,540000.0
40,100047.0,-17482.0,-1262.0,-1182.0,35028.0,1193580.0
41,100048.0,-16971.0,-475.0,-3148.0,29196.0,604152.0
42,100049.0,-13384.0,-3597.0,-45.0,16258.5,288873.0
43,100050.0,-23548.0,365243.0,-5745.0,42970.5,746280.0
44,100051.0,-9827.0,-758.0,-4166.0,48280.5,661702.5
45,100052.0,-7974.0,-895.0,-6591.0,9000.0,180000.0
46,100053.0,-20373.0,365243.0,-7760.0,17649.0,305221.5
47,100054.0,-20121.0,-5332.0,-9197.0,26838.0,260640.0
48,100055.0,-19727.0,-4411.0,-6225.0,37255.5,1350000.0
49,100056.0,-18264.0,-9523.0,-5504.0,49927.5,1506816.0
50,100058.0,-12406.0,-1176.0,-1149.0,6750.0,135000.0
51,100059.0,-18632.0,-6977.0,-3904.0,34596.0,675000.0
52,100060.0,-12282.0,-778.0,-1824.0,14661.0,454500.0
53,100061.0,-10473.0,-1392.0,-2025.0,16164.0,314055.0
54,100062.0,-18611.0,365243.0,-6936.0,32472.0,675000.0
55,100063.0,-12955.0,-4106.0,-7054.0,45558.0,837427.5
56,100064.0,-21621.0,365243.0,-2019.0,15381.0,298728.0
57,100068.0,-18248.0,-2351.0,-4375.0,12375.0,247500.0
58,100069.0,-14186.0,-1743.0,-2128.0,27265.5,640458.0
59,100070.0,-20544.0,-2091.0,-6846.0,46899.0,1227901.5
60,100071.0,-20121.0,-2446.0,-6755.0,86989.5,1663987.5
61,100072.0,-7907.0,-1324.0,-4557.0,44118.0,1080000.0
62,100073.0,-22843.0,365243.0,-1042.0,40189.5,1130760.0
63,100075.0,-12240.0,-3720.0,-5246.0,10462.5,95940.0
64,100076.0,-13866.0,-2546.0,-5448.0,9679.5,315000.0
65,100077.0,-12049.0,-579.0,-6105.0,40657.5,1256400.0
66,100078.0,-19550.0,-4856.0,-6836.0,43983.0,1035000.0
67,100079.0,-15359.0,-114.0,-5076.0,13500.0,270000.0
68,100080.0,-11956.0,-3154.0,-8118.0,22500.0,450000.0
69,100081.0,-10848.0,-121.0,-4809.0,21109.5,450000.0
70,100082.0,-12009.0,-2844.0,-1377.0,21109.5,450000.0
71,100083.0,-15406.0,-892.0,-341.0,24435.0,573628.5
72,100084.0,-14860.0,-1156.0,-23.0,26140.5,495351.0
73,100085.0,-11187.0,-2224.0,-3253.0,28894.5,755190.0
74,100086.0,-14264.0,-2492.0,-4327.0,21775.5,675000.0
75,100087.0,-17542.0,-2011.0,-1529.0,37800.0,1288350.0
76,100088.0,-19467.0,-4066.0,-4623.0,6750.0,135000.0
77,100089.0,-9666.0,-2811.0,-4437.0,15781.5,337761.0
78,100093.0,-18253.0,-721.0,-1701.0,28273.5,585000.0
79,100094.0,-22935.0,365243.0,-12623.0,5301.0,113760.0
80,100095.0,-18693.0,-1434.0,-10255.0,6750.0,135000.0
81,100096.0,-24794.0,365243.0,-5391.0,14593.5,252000.0
82,100097.0,-17527.0,-2442.0,-3500.0,30280.5,760225.5
83,100098.0,-17390.0,-924.0,-7211.0,13500.0,270000.0
84,100099.0,-23032.0,365243.0,-9506.0,41076.0,733315.5
85,100100.0,-15909.0,-1094.0,-3134.0,38443.5,796396.5
86,100101.0,-18138.0,-969.0,-7421.0,22072.5,343377.0
87,100102.0,-14321.0,-192.0,-6913.0,10264.5,327024.0
88,100103.0,-21112.0,-1694.0,-6057.0,16965.0,450000.0
89,100104.0,-18556.0,-862.0,-6769.0,30690.0,547344.0
90,100105.0,-19810.0,-8862.0,-4493.0,23755.5,225000.0
91,100108.0,-12780.0,-1415.0,-5146.0,31288.5,545040.0
92,100110.0,-10744.0,-741.0,-442.0,25065.0,373140.0
93,100111.0,-10485.0,-1249.0,-4628.0,27954.0,862560.0
94,100112.0,-10199.0,-2015.0,-4802.0,64107.0,953460.0
95,100113.0,-15137.0,-7980.0,-9176.0,6696.0,135000.0
96,100114.0,-10734.0,-693.0,-7913.0,22599.0,284400.0
97,100115.0,-15371.0,-367.0,-3071.0,14683.5,315000.0
98,100116.0,-14751.0,-6737.0,-3390.0,32017.5,900000.0
99,100118.0,-22471.0,365243.0,-217.0,26541.0,675000.0
100,100119.0,-11142.0,-2419.0,-4987.0,9000.0,180000.0
101,100120.0,-9650.0,-2953.0,-4329.0,28215.0,781920.0
102,100121.0,-16798.0,-669.0,-9388.0,26145.0,787131.0
103,100122.0,-10954.0,-2469.0,-550.0,26217.0,808650.0
104,100123.0,-23719.0,-8466.0,-3917.0,19737.0,675000.0
105,100124.0,-24051.0,365243.0,-7040.0,28647.0,448272.0
106,100125.0,-21613.0,365243.0,-2376.0,26208.0,263686.5
107,100126.0,-12900.0,-782.0,-2124.0,9000.0,180000.0
108,100127.0,-21341.0,365243.0,-10150.0,5341.5,52128.0
109,100129.0,-9415.0,-225.0,-4066.0,6750.0,135000.0
110,100130.0,-10526.0,-267.0,-387.0,30802.5,723996.0
111,100131.0,-13830.0,-1169.0,-7953.0,45625.5,891072.0
112,100132.0,-23656.0,-968.0,-14666.0,73611.0,1136439.0
113,100133.0,-9207.0,-1043.0,-4069.0,18810.0,384048.0
114,100134.0,-10085.0,-465.0,-9649.0,9000.0,180000.0
115,100135.0,-19829.0,-215.0,-4730.0,26271.0,391194.0
116,100136.0,-15949.0,-239.0,-1146.0,49356.0,1571931.0
117,100137.0,-20284.0,365243.0,-1990.0,45625.5,891072.0
118,100138.0,-14339.0,365243.0,-1104.0,29223.0,824823.0
119,100139.0,-13286.0,-2305.0,-6685.0,24016.5,302341.5
120,100140.0,-9223.0,-802.0,-4067.0,33750.0,675000.0
121,100142.0,-13379.0,-5387.0,-6869.0,27994.5,579195.0
